Country Name	Country Code	Time	Time Code	GDP (constant 2010 US$) [NY.GDP.MKTP.KD]	GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]	GNI (constant 2010 US$) [NY.GNP.MKTP.KD]	GNI growth (annual %) [NY.GNP.MKTP.KD.ZG]	"Population, total [SP.POP.TOTL]"	Population growth (annual %) [SP.POP.GROW]	"Manufacturing, value added (constant 2010 US$) [NV.IND.MANF.KD]"	Medium and high-tech Industry (including construction) (% manufacturing value added) [NV.MNF.TECH.ZS.UN]	Households and NPISHs Final consumption expenditure (constant 2010 US$) [NE.CON.PRVT.KD]	Broad money (% of GDP) [FM.LBL.BMNY.GD.ZS]	"Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]"	Consumer price index (2010 = 100) [FP.CPI.TOTL]	"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"	Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]	Lending interest rate (%) [FR.INR.LEND]	"Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]"	"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]"	"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]"	"Net trade in goods and services (BoP, current US$) [BN.GSR.GNFS.CD]"	Military expenditure (% of central government expenditure) [MS.MIL.XPND.ZS]	Final consumption expenditure (constant 2010 US$) [NE.CON.TOTL.KD]
Aruba	ABW	1990	YR1990	..	..	..	..	62149	1.813641093	..	..	..	..	1.79	49.29969441	..	..	10.6	..	7.059	19.571	-149273743	..	..
Aruba	ABW	2005	YR2005	..	0.380390971	..	..	100031	1.30203884	..	..	..	58.16177352	1.79	84.13737451	..	..	11	..	7.32	12.35	716110922.9	..	..
Aruba	ABW	2015	YR2015	..	..	..	..	104341	0.524658159	..	..	..	..	1.79	103.4021721	..	..	7	..	8.624	10.963	304539205.6	..	..
Afghanistan	AFG	1990	YR1990	..	..	..	..	12249114	3.925342136	..	13.59084406	..	..	39.27642927	..	..	12528.0165	..	..	15.577	49.08	..	..	..
Afghanistan	AFG	2005	YR2005	9762978844	11.17527024	9780992357	11.20387308	25070798	3.870470159	1644793029	2.717656631	12009832658	..	49.4945975	71.14097429	..	14770.2643	..	..	9.906	44.91	..	12.68975795	13083821166
Afghanistan	AFG	2015	YR2015	20918533235	1.310040404	21104716058	1.346641195	33736494	2.943234185	2187580644	9.507433902	17690916721	33.78441589	61.14346154	132.1176556	..	..	15	..	6.924	33.98	-7208078674	3.833142187	20350165855
Angola	AGO	1990	YR1990	25003728530	-3.450098684	..	..	12171441	2.868721394	..	4.518579929	..	..	2.99E-08	2.22E-08	..	50806.54269	..	..	22.91	52.749	606900000	..	..
Angola	AGO	2005	YR2005	46688056705	20.90702704	40264447254	11.7580316	19552542	3.575899698	..	4.518579929	17272070045	17.41558142	87.15914167	53.69480503	..	35855.7384	67.71813074	..	13.773	47.726	9142016031	13.91893868	25103489626
Angola	AGO	2015	YR2015	1.04E+11	2.999747493	1.02E+11	6.484657714	27859305	3.42802067	..	3.892010201	87022825584	46.35990202	120.0607017	161.0523262	..	..	16.8818624	..	8.683	42.321	-3531471369	11.47982303	1.00E+11
Albania	ALB	1990	YR1990	6401801081	-9.575640169	..	..	3286542	1.799085593	..	7.581147177	..	..	..	..	9.5	11112.72956	..	..	5.989	24.789	-131400000	..	..
